DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-12-23,40,17,50,36,0.27906976744186046,123,43
2019-12-25,24,5,30,13,0.9069767441860465,115,43
2019-12-26,17,7,21,22,0.9069767441860465,238,45
2019-12-29,9,13,15,29,0.6363636363636364,143,31
2019-12-30,9,7,18,13,0.7741935483870968,100,28
2020-01-01,16,3,22,6,3.5357142857142856,238,123
2020-01-02,15,40,50,50,0.89,273,167
2020-01-05,26,41,50,50,0.87,295,167
2020-01-06,38,26,50,50,0.98,280,153
2020-01-07,30,26,50,50,0.91,307,187
2020-01-08,37,39,50,50,0.79,449,200
2020-01-09,28,30,50,50,0.93,336,129
2020-01-12,32,32,50,50,0.94,319,162
2020-01-13,39,34,50,50,0.93,279,156
2020-01-14,34,23,50,50,0.86,362,139
2020-01-15,42,26,50,50,0.94,437,163
2020-01-16,40,16,50,50,0.94,477,135
2020-01-20,26,30,50,50,0.94,575,202
2020-01-21,31,41,50,50,0.91,577,171
2020-01-22,25,38,50,50,0.93,393,158
2020-01-23,34,27,50,50,0.9,447,141
2020-01-26,4,48,50,50,0.96,503,303
2020-01-27,32,31,50,50,0.97,439,194
2020-01-28,43,25,50,50,0.96,375,177
2020-01-29,19,40,49,50,0.9494949494949495,428,251
2020-01-30,29,30,50,50,0.94,413,238
2020-02-02,14,44,50,50,0.93,390,212
2020-02-03,47,17,50,50,0.95,456,259
2020-02-04,37,18,50,50,0.97,467,243
2020-02-05,46,28,50,50,0.94,450,201
2020-02-06,24,34,50,50,0.85,234,159
2020-02-09,24,45,50,50,0.88,383,192
2020-02-10,43,23,50,50,0.91,460,150
2020-02-11,43,18,50,46,0.8958333333333334,485,199
2020-02-12,29,29,50,50,0.89,394,176
2020-02-13,32,25,50,49,0.8686868686868687,364,159
2020-02-17,28,36,50,49,0.9292929292929293,507,243
2020-02-18,40,27,50,50,0.96,470,199
2020-02-19,32,32,50,50,0.89,488,232
2020-02-20,21,34,50,50,0.85,406,228
2020-02-23,12,42,50,50,0.82,484,362
2020-02-24,23,28,50,50,0.91,470,343
2020-02-25,10,45,50,50,0.91,448,290
2020-02-26,9,46,50,50,0.93,835,700
2020-02-27,12,45,48,50,0.9489795918367347,986,870
2020-03-01,32,9,50,50,0.97,391,232
2020-03-02,50,21,50,50,0.89,410,261
2020-03-03,27,39,50,50,0.98,436,305
2020-03-04,31,37,50,50,0.82,547,412
2020-03-05,13,47,35,50,0.9176470588235294,824,734
2020-03-08,6,50,38,50,0.7613636363636364,546,358
2020-03-09,16,22,26,50,1.263157894736842,565,370
2020-03-10,14,41,50,50,0.82,808,664
2020-03-11,4,50,35,50,0.8470588235294118,1806,1704
2020-03-12,22,19,27,50,1.2857142857142858,593,455
2020-03-15,1,46,50,50,0.99,686,545
2020-03-16,38,27,50,50,0.99,614,425
2020-03-17,24,45,50,50,0.88,526,312
2020-03-18,21,33,40,50,1.0666666666666667,1070,885
2020-03-19,40,13,50,50,0.93,410,303
2020-03-22,13,42,50,50,0.9,884,730
2020-03-23,48,22,50,50,0.93,505,324
2020-03-24,41,6,50,50,0.96,401,274
2020-03-25,30,21,50,50,0.92,481,372
2020-03-26,33,22,50,50,0.92,543,457
2020-03-29,29,26,50,50,0.94,470,328
2020-03-30,46,21,50,50,0.97,471,313
2020-03-31,25,45,50,50,0.78,567,461
2020-04-01,27,38,38,50,1.0454545454545454,430,300
2020-04-02,32,20,50,50,0.78,388,291
2020-04-05,22,10,31,50,1.1851851851851851,575,450
2020-04-06,49,2,50,50,0.93,573,429
2020-04-07,20,37,50,50,0.95,504,394
2020-04-08,49,2,50,50,0.89,547,403
2020-04-12,36,30,50,50,0.93,540,403
2020-04-13,38,35,50,50,0.94,505,338
2020-04-14,18,37,50,50,0.91,666,538
2020-04-15,30,21,46,50,0.9895833333333334,439,279
2020-04-16,44,24,50,50,0.98,502,411
2020-04-19,19,39,50,50,0.97,440,279
2020-04-20,13,29,50,50,0.88,532,364
2020-04-21,37,16,50,50,0.93,434,285
2020-04-22,49,29,50,50,0.9,439,278
2020-04-23,44,25,50,50,0.95,322,211
2020-04-26,36,16,50,50,0.99,553,334
2020-04-27,50,4,50,50,0.88,488,255
2020-04-28,50,16,50,50,0.89,614,445
2020-04-29,35,29,50,50,0.99,629,401
2020-04-30,11,44,50,49,0.9494949494949495,544,435
2020-05-03,16,48,50,50,0.92,487,280
2020-05-04,42,10,50,50,0.96,556,348
2020-05-05,37,35,50,50,0.98,506,338
2020-05-06,23,31,50,50,0.98,676,441
2020-05-07,43,18,50,50,0.92,472,334
2020-05-10,35,21,50,50,0.93,513,318
2020-05-11,35,30,50,50,0.98,423,212
2020-05-12,12,43,50,50,0.95,538,387
2020-05-13,8,48,50,50,0.94,475,330
2020-05-14,49,19,50,50,0.93,343,222
2020-05-17,48,2,50,50,0.97,589,441
2020-05-18,44,14,50,50,0.97,311,192
2020-05-19,33,20,50,50,0.93,398,289
2020-05-20,44,26,50,50,0.88,264,153
2020-05-21,31,35,50,50,0.84,189,99
2020-05-25,42,8,50,48,0.8673469387755102,590,435
2020-05-26,45,27,50,42,0.8152173913043478,451,304
2020-05-27,45,27,50,50,0.92,339,183
2020-05-28,24,33,50,50,0.82,241,101
2020-05-31,24,26,41,50,1.054945054945055,386,250
2020-06-01,50,10,50,50,0.87,277,157
2020-06-02,45,5,50,48,0.9081632653061225,565,417
2020-06-03,40,25,50,50,0.93,351,213
2020-06-04,50,23,50,50,0.93,672,545
2020-06-07,41,10,50,50,0.78,510,339
2020-06-08,28,33,50,50,0.91,475,353
