,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
01 07 2019,1,1.019526839,1,1.016340907,1.95%,-0.016078175,,,01 07 2019,1,1.014473755,1,1.017967665,1.45%,-1.77%,,,,,,,,,,
02 07 2019,1,0.991800892,1,0.99105277,-0.82%,0.009028006,,,02 07 2019,1,0.991613143,1,0.989869333,-0.84%,1.02%,,,,,,,,,,
03 07 2019,1,1.004756244,1,0.997436511,0.48%,0.002570078,,,03 07 2019,1,0.996955338,1,0.994739198,-0.30%,0.53%,,,,,,,,,,
05 07 2019,1,1.002279517,1,1.001824883,0.23%,-0.001821559,,,05 07 2019,1,0.998041324,1,1.002647547,-0.20%,-0.26%,,,,,,,,,,
08 07 2019,1,1.004334565,1,0.999770789,0.43%,0.000229263,,,08 07 2019,1,1.002405704,1,0.995645605,0.24%,0.44%,,,,,,,,,,
09 07 2019,1,0.989577065,1,0.987355071,-1.04%,0.012806871,,,09 07 2019,1,0.989863053,1,0.996391026,-1.01%,0.36%,,,,,,,,,,
10 07 2019,1,1.006575442,1,1.013867756,0.66%,-0.013678071,,,10 07 2019,1,1.012627066,1,1.012175232,1.26%,-1.20%,,,,,,,,,,
11 07 2019,1,1.010346024,1,1.023296524,1.03%,-0.022766152,,,11 07 2019,1,1.012786528,1,1.019499229,1.28%,-1.91%,,,,,,,,,,
12 07 2019,1,0.996724422,1,1.00090727,-0.33%,-0.000906447,,,12 07 2019,1,0.996116533,1,1.002782628,-0.39%,-0.28%,,,,,,,,,,
15 07 2019,1,1.005507152,1,1.00625609,0.55%,-0.006217194,,,15 07 2019,1,1.010005066,1,1.006682034,1.00%,-0.66%,,,,,,,,,,
16 07 2019,1,0.994212843,1,0.996477042,-0.58%,0.003535413,,,16 07 2019,1,0.996073931,1,0.992512998,-0.39%,0.75%,,,,,,,,,,
17 07 2019,1,0.998565393,1,1.007012605,-0.14%,-0.006963771,,,17 07 2019,1,0.997486217,1,1.009316193,-0.25%,-0.92%,,,,,,,,,,
18 07 2019,1,0.998358705,1,0.9964144,-0.16%,0.003598503,,,18 07 2019,1,0.998312139,1,0.996083853,-0.17%,0.39%,,,,,,,,,,
19 07 2019,1,1.005335597,1,1.007285245,0.53%,-0.007232554,,,19 07 2019,1,1.007700892,1,0.999624903,0.77%,0.04%,,,,,,,,,,
22 07 2019,1,0.988682319,1,0.996696598,-1.13%,0.00331435,,,22 07 2019,1,0.990983342,1,0.99510181,-0.90%,0.49%,,,,,,,,,,
23 07 2019,1,1.0034534,1,0.991658082,0.35%,0.008412091,,,23 07 2019,1,1.005400604,1,0.991302718,0.54%,0.88%,,,,,,,,,,
24 07 2019,1,0.999168816,1,1.007513223,-0.08%,-0.007457195,,,24 07 2019,1,1.004682938,1,0.996161044,0.47%,0.39%,,,,,,,,,,
25 07 2019,1,1.010550175,1,1.015592976,1.06%,-0.015353568,,,25 07 2019,1,1.011106205,1,1.011794676,1.11%,-1.17%,,,,,,,,,,
26 07 2019,1,1.016080327,1,1.003908912,1.61%,-0.003893692,,,26 07 2019,1,0.995534579,1,1.001607028,-0.45%,-0.16%,,,,,,,,,,
29 07 2019,1,1.000088076,1,1.001437636,0.01%,-0.001435572,,,29 07 2019,1,1.003829409,1,0.992524332,0.38%,0.75%,,,,,,,,,,
30 07 2019,1,0.99081141,1,0.994514286,-0.92%,0.005515973,,,30 07 2019,1,0.992647292,1,0.992354017,-0.74%,0.77%,,,,,,,,,,
31 07 2019,1,1.003555048,1,1.010068783,0.36%,-0.009968413,,,31 07 2019,1,1.007046394,1,1.015883304,0.70%,-1.56%,,,,,,,,,,
01 08 2019,1,0.991764926,1,0.985778609,-0.82%,0.014426557,,,01 08 2019,1,0.991422229,1,0.99433496,-0.86%,0.57%,,,,,,,,,,
02 08 2019,1,0.98301899,1,0.976613576,-1.70%,0.023946446,,,02 08 2019,1,0.975890935,1,0.977241706,-2.41%,2.33%,,,,,,,,,,
05 08 2019,1,0.981621711,1,0.968353736,-1.84%,0.032680479,,,05 08 2019,1,0.985364177,1,0.961982333,-1.46%,3.95%,,,,,,,,,,
06 08 2019,1,0.99798823,1,0.989522731,-0.20%,0.010588205,,,06 08 2019,1,0.999218668,1,0.995763959,-0.08%,0.43%,,,,,,,,,,
07 08 2019,1,0.998313731,1,0.987454048,-0.17%,0.012705353,,,07 08 2019,1,1.004553819,1,0.993319239,0.46%,0.67%,,,,,,,,,,
08 08 2019,1,1.018988886,1,1.007959662,1.90%,-0.007896806,,,08 08 2019,1,1.021416439,1,1.00420108,2.14%,-0.42%,,,,,,,,,,
09 08 2019,1,1.016668981,1,1.008947864,1.67%,-0.00886851,,,09 08 2019,1,1.018845167,1,1.010841261,1.88%,-1.07%,,,,,,,,,,
12 08 2019,1,0.992674677,1,0.993696454,-0.73%,0.006343533,,,12 08 2019,1,0.983681063,1,0.987212329,-1.63%,1.30%,,,,,,,,,,
13 08 2019,1,0.994285951,1,0.989264135,-0.57%,0.010852374,,,13 08 2019,1,0.994651481,1,0.98968332,-0.53%,1.04%,,,,,,,,,,
14 08 2019,1,0.995810637,1,0.992396819,-0.42%,0.007661432,,,14 08 2019,1,0.993266202,1,0.998966786,-0.67%,0.10%,,,,,,,,,,
15 08 2019,1,0.989953281,1,0.983499093,-1.00%,0.016777755,,,15 08 2019,1,0.988130761,1,0.983286196,-1.19%,1.70%,,,,,,,,,,
16 08 2019,1,1.008491059,1,0.992589953,0.85%,0.007465366,,,16 08 2019,1,1.009398191,1,1.008599196,0.94%,-0.85%,,,,,,,,,,
19 08 2019,1,1.02127728,1,1.020013298,2.13%,-0.019620625,,,19 08 2019,1,1.02090778,1,1.023404686,2.09%,-2.29%,,,,,,,,,,
20 08 2019,1,0.995132139,1,1.006141747,-0.49%,-0.006104256,,,20 08 2019,1,0.995331783,1,0.998233286,-0.47%,0.18%,,,,,,,,,,
21 08 2019,1,1.002942514,1,1.005511088,0.29%,-0.005480883,,,21 08 2019,1,1.005498074,1,1.016572713,0.55%,-1.63%,,,,,,,,,,
22 08 2019,1,1.006105483,1,1.000690181,0.61%,-0.000689705,,,22 08 2019,1,1.003200905,1,1.004909828,0.32%,-0.49%,,,,,,,,,,
23 08 2019,1,0.992264479,1,0.994303045,-0.77%,0.005729596,,,23 08 2019,1,0.994783624,1,0.993896175,-0.52%,0.61%,,,,,,,,,,
26 08 2019,1,0.985560234,1,0.989181239,-1.44%,0.010937087,,,26 08 2019,1,0.983672417,1,0.990985363,-1.63%,0.91%,,,,,,,,,,
27 08 2019,1,1.006315055,1,1.010077586,0.63%,-0.009977042,,,27 08 2019,1,1.007835148,1,1.009285568,0.78%,-0.92%,,,,,,,,,,
28 08 2019,1,0.9806504,1,0.991552036,-1.93%,0.00851994,,,28 08 2019,1,0.984270268,1,0.985450959,-1.57%,1.48%,,,,,,,,,,
