DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-08-27,9999.999999999996,9834.06388091973,10000.000000000002,9985.81117043558,35,48,0.0,329,329
2019-08-28,10000.000000000002,10315.039488430808,10000.000000000002,10209.014974169411,45,49,0.0,322,322
2019-08-29,10000.000000000002,10014.119000356846,10000.000000000004,10201.444038237507,47,49,0.0,304,304
2019-08-30,9999.999999999998,9907.915097629057,9999.999999999998,9928.218011817078,33,41,0.0,284,284
2019-09-03,9999.999999999998,10117.759511222712,9999.999999999996,10026.199034853347,36,49,0.0,338,338
2019-09-04,10000.0,10088.24128256781,10000.000000000002,10113.368484096776,33,45,0.0,190,190
2019-09-05,9999.999999999998,10088.483207790465,10000.000000000004,10079.402829012852,35,44,0.0,263,263
2019-09-06,9999.999999999996,9959.666669747417,10000.000000000004,10036.699506757996,35,47,0.0,331,331
2019-09-09,9999.999999999998,9901.412103805813,9999.999999999996,10009.681878086263,47,45,0.0,413,413
2019-09-10,9999.999999999998,10083.289766084203,10000.0,10103.223799720749,39,49,0.0,423,423
2019-09-11,9999.999999999998,10088.4236212697,9999.999999999998,9925.349207189052,35,49,0.0,300,300
2019-09-12,10000.000000000002,10161.40800878385,9999.999999999996,10021.468986722903,49,49,0.0,358,358
2019-09-13,9999.999999999998,9887.386340038398,10000.000000000002,10125.74152649866,48,49,0.0,339,339
2019-09-16,9999.999999999996,9977.852189414376,9999.999999999996,9891.267853815281,41,49,0.0,341,341
2019-09-17,9999.999999999998,10111.036361178056,9999.999999999998,9841.462476887074,34,47,0.0,249,249
2019-09-18,10000.000000000002,9986.425846775888,9999.999999999996,10030.3674847692,46,46,0.0,367,367
2019-09-19,10000.000000000002,9961.02070218474,10000.000000000002,10000.511066798053,38,48,0.0,315,315
2019-09-20,10000.000000000002,9861.389282838174,9999.999999999998,9895.635670870943,36,45,0.0,294,294
2019-09-23,10000.000000000002,10028.471488840167,10000.000000000005,10050.812903730743,49,45,0.0,221,221
2019-09-24,10000.0,9846.041101396577,10000.000000000004,9844.940678283017,46,48,0.0,232,232
2019-09-25,10000.000000000002,10134.399376225278,9999.999999999996,9943.070305763458,45,48,0.0,230,230
2019-09-26,9999.999999999998,10013.473873984076,9999.999999999996,10016.934273557936,36,46,0.0,297,297
2019-09-27,9999.999999999996,9916.904100609989,9999.999999999998,9739.589400603236,36,46,0.0,325,325
2019-09-30,9999.999999999998,10081.390803251852,9999.999999999995,9935.687024299223,40,45,0.0,284,284
2019-10-01,10000.000000000002,9842.522521980487,10000.000000000002,9790.622766270137,50,47,0.0,269,269
2019-10-02,10000.000000000004,10043.235734700322,9999.999999999996,9828.505719770996,45,45,0.0,253,253
2019-10-03,9999.999999999998,10071.71473654724,10000.000000000002,10023.913982821168,49,47,0.0,283,283
2019-10-04,10000.0,10086.635438979485,10000.000000000005,9998.662203121028,37,47,0.0,402,402
2019-10-07,9999.999999999998,9934.075751086706,10000.000000000002,9911.473831011926,34,44,0.0,451,451
2019-10-08,10000.000000000004,10013.267273360743,9999.999999999998,10084.109679573945,48,48,0.0,327,327
2019-10-09,9999.999999999996,9995.323193605762,10000.000000000002,9966.336057349197,35,47,0.0,276,276
2019-10-10,9999.999999999998,10232.903109695882,9999.999999999998,10338.927290728441,44,44,0.0,314,314
2019-10-11,9999.999999999996,9947.452307968466,9999.999999999998,9935.870386398374,36,47,0.0,366,366
2019-10-14,10000.0,10020.916499882678,9999.999999999998,10007.823021748909,45,47,0.0,305,305
2019-10-15,10000.0,10046.657829850777,10000.0,9946.177999152775,48,48,0.0,352,352
2019-10-16,10000.000000000007,10074.162906209318,9999.999999999996,10072.34579377487,47,43,0.0,386,386
2019-10-17,10000.0,9975.379661742645,10000.000000000005,9958.548025607222,49,46,0.0,289,289
2019-10-18,10000.000000000002,9979.339803280596,9999.999999999996,10002.195884029556,35,49,0.0,322,322
2019-10-21,9999.999999999996,10083.467470921472,10000.000000000004,10079.686021072019,50,47,0.0,312,312
2019-10-22,9999.999999999998,9921.168213111425,10000.0,9982.945557538951,45,49,0.0,344,344
2019-10-23,10000.000000000005,10083.398600901402,9999.999999999996,10129.56558143517,49,48,0.0,319,319
2019-10-24,9999.999999999996,9926.98397675668,10000.000000000004,9950.551118208981,48,49,0.0,474,474
